customer_id,first_name,last_name,city,state,zip,OrderNumber,Channel,CurrencyCode,SalesTeamID,Product_id,Order Quantity,Discount Applied,Unit Cost,Unit Price,Transaction Date
5,Alexandra,Smith,Coosada,Alabama,36020,SO - 0007656,Direct/Organic,USD,6,31,8,0.05,143.78,247.9,2023-10-20
6,Claire,Hall,Anaheim,California,92812,SO - 000373,Referral,USD,19,21,5,0.3,134.4,227.8,2022-03-18
6,Claire,Hall,Anaheim,California,92812,SO - 000598,Marketing - Field Event,USD,7,7,6,0.15,1157.76,1809.0,2023-06-02
6,Claire,Hall,Anaheim,California,92812,SO - 0002309,Referral,USD,25,19,7,0.05,733.52,1078.7,2023-11-10
6,Claire,Hall,Anaheim,California,92812,SO - 0002355,Partner,USD,10,6,5,0.1,120.6,167.5,2023-03-24
6,Claire,Hall,Anaheim,California,92812,SO - 0002440,Referral,USD,1,31,5,0.05,3241.73,3859.2,2023-04-05
6,Claire,Hall,Anaheim,California,92812,SO - 0004398,Direct/Organic,USD,7,4,1,0.075,1940.25,3959.7,2023-12-02
6,Claire,Hall,Anaheim,California,92812,SO - 0005104,Partner,USD,4,23,6,0.2,131.32,268.0,2024-02-21
6,Claire,Hall,Anaheim,California,92812,SO - 0006172,Marketing - Paid,USD,23,30,8,0.075,2319.94,3999.9,2024-03-19
6,Claire,Hall,Anaheim,California,92812,SO - 0006203,Referral,USD,11,33,3,0.05,1294.91,1681.7,2024-03-19
6,Claire,Hall,Anaheim,California,92812,SO - 0006228,Referral,USD,21,45,7,0.075,4217.38,5406.9,2024-03-26
6,Claire,Hall,Anaheim,California,92812,SO - 0006315,Referral,USD,7,28,2,0.2,2066.01,3973.1,2023-06-14
6,Claire,Hall,Anaheim,California,92812,SO - 0006861,Marketing - Paid,USD,15,40,4,0.05,2427.68,3678.3,2023-10-17
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 000206,Marketing - Field Event,USD,13,31,1,0.075,1443.85,2887.7,2023-01-17
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 000559,Marketing - Paid,USD,12,34,7,0.2,1845.98,3845.8,2023-04-24
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 0005838,Partner,USD,6,45,4,0.1,2817.22,3859.2,2023-11-12
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 0006235,Direct/Organic,USD,22,32,7,0.075,3103.44,3879.3,2024-03-26
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 0006704,Direct/Organic,USD,26,7,4,0.1,3661.42,5085.3,2024-02-08
7,Mark,Diaz,Saint Francis,Maine,4774,SO - 0006988,Marketing - Field Event,USD,5,37,4,0.075,462.9,944.7,2024-01-02
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 000982,Direct/Organic,USD,1,27,5,0.05,441.8,1051.9,2022-12-18
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0001214,Partner,USD,20,24,3,0.1,1716.74,2351.7,2022-10-19
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0001241,Marketing - Field Event,USD,3,9,8,0.05,783.9,1005.0,2023-01-27
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0001391,Direct/Organic,USD,10,7,8,0.1,1995.53,3912.8,2022-02-19
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0001518,Marketing - Field Event,USD,7,17,2,0.05,145.39,207.7,2023-02-17
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0003562,Direct/Organic,USD,22,47,1,0.05,1011.23,2351.7,2023-08-21
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0003781,Referral,USD,14,45,1,0.075,1553.6,2505.8,2023-08-16
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0004300,Partner,USD,5,28,7,0.075,1868.5,2251.2,2023-12-19
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0005737,Direct/Organic,USD,13,34,5,0.05,1639.62,3564.4,2024-03-17
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0006459,Partner,USD,5,34,4,0.3,1242.05,2003.3,2024-01-13
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0006467,Marketing - Paid,USD,28,19,4,0.05,198.59,261.3,2024-01-13
8,Melissa,Patterson,Topeka,Kansas,66638,SO - 0006622,Direct/Organic,USD,2,46,4,0.075,475.37,1105.5,2024-01-15
9,Haley,Green,Topeka,Kansas,66699,SO - 000928,Partner,USD,13,39,3,0.2,935.25,1989.9,2022-05-18
9,Haley,Green,Topeka,Kansas,66699,SO - 0002182,Referral,USD,13,39,7,0.1,563.81,1025.1,2023-02-28
9,Haley,Green,Topeka,Kansas,66699,SO - 0005112,Direct/Organic,USD,19,29,5,0.15,739.95,1681.7,2024-02-21
9,Haley,Green,Topeka,Kansas,66699,SO - 0007623,Marketing - Field Event,USD,7,35,4,0.05,3165.21,4006.6,2023-06-19
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0001202,Marketing - Field Event,USD,20,7,2,0.05,1573.76,1896.1,2022-08-18
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0001605,Referral,USD,20,8,8,0.1,1346.7,2244.5,2023-05-15
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0001743,Direct/Organic,USD,28,13,4,0.075,1660.19,2338.3,2023-01-20
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0002043,Marketing - Paid,USD,24,33,1,0.075,536.2,1011.7,2023-11-09
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0005004,Referral,USD,5,4,5,0.075,4557.27,5768.7,2023-06-09
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0005092,Referral,USD,26,16,8,0.1,684.74,938.0,2024-02-21
10,Courtney,Simmons,North Amherst,Massachusetts,1059,SO - 0005625,Partner,USD,3,20,3,0.075,532.65,1005.0,2024-02-18
11,Sofia,Bell,San Gabriel,California,91776,SO - 0001252,Referral,USD,3,12,7,0.05,553.09,850.9,2023-02-07
11,Sofia,Bell,San Gabriel,California,91776,SO - 0001534,Referral,USD,10,44,3,0.075,561.73,877.7,2023-03-05
11,Sofia,Bell,San Gabriel,California,91776,SO - 0002957,Direct/Organic,USD,23,13,6,0.1,1248.34,1835.8,2023-03-16
11,Sofia,Bell,San Gabriel,California,91776,SO - 0003210,Referral,USD,6,39,7,0.1,640.39,1085.4,2023-06-27
11,Sofia,Bell,San Gabriel,California,91776,SO - 0004615,Direct/Organic,USD,18,3,5,0.2,2351.1,3731.9,2023-12-26
11,Sofia,Bell,San Gabriel,California,91776,SO - 0004972,Marketing - Field Event,USD,21,18,2,0.1,830.33,1025.1,2024-03-11
11,Sofia,Bell,San Gabriel,California,91776,SO - 0005800,Referral,USD,9,16,4,0.075,3325.48,4006.6,2023-07-13
11,Sofia,Bell,San Gabriel,California,91776,SO - 0005916,Direct/Organic,USD,24,39,3,0.15,2555.92,5808.9,2024-02-19
11,Sofia,Bell,San Gabriel,California,91776,SO - 0006496,Marketing - Field Event,USD,22,16,6,0.05,130.18,194.3,2024-01-13
11,Sofia,Bell,San Gabriel,California,91776,SO - 0007067,Referral,USD,17,44,2,0.1,1192.73,2592.9,2024-04-17
11,Sofia,Bell,San Gabriel,California,91776,SO - 0008020,Partner,USD,12,44,3,0.075,785.91,1139.0,2024-02-13
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 000791,Referral,USD,1,4,2,0.05,1896.37,3108.8,2023-03-15
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 0001972,Marketing - Field Event,USD,17,44,8,0.2,1613.36,2304.8,2023-05-10
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 0003084,Direct/Organic,USD,7,24,2,0.05,821.35,2003.3,2023-06-21
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 0003937,Partner,USD,26,30,5,0.15,2296.49,5601.2,2023-09-27
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 0004811,Partner,USD,12,11,7,0.1,2695.21,5085.3,2024-01-21
12,Taylor,Sanders,Smyrna,North Carolina,28579,SO - 0006240,Marketing - Paid,USD,17,8,2,0.1,956.76,2278.0,2024-03-26
13,Allison,Rivera,Columbus,Ohio,43270,SO - 000919,Direct/Organic,USD,25,37,2,0.2,117.59,261.3,2022-04-17
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0001458,Direct/Organic,USD,6,12,8,0.3,435.03,1011.7,2022-10-20
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0002392,Direct/Organic,USD,8,3,1,0.05,844.2,1340.0,2023-03-30
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0002798,Direct/Organic,USD,21,22,8,0.075,4352.32,5440.4,2023-05-22
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0003426,Partner,USD,15,42,4,0.2,1279.37,2244.5,2023-07-31
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0003689,Partner,USD,21,5,5,0.1,1926.65,2438.8,2023-08-31
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0006700,Direct/Organic,USD,17,1,1,0.1,794.49,1031.8,2024-02-08
13,Allison,Rivera,Columbus,Ohio,43270,SO - 0007139,Referral,USD,8,16,6,0.1,1910.77,2418.7,2023-12-27
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0002625,Direct/Organic,USD,7,25,4,0.05,503.84,1072.0,2023-04-27
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0002899,Referral,USD,19,39,1,0.3,2814.0,4020.0,2023-06-18
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0004667,Marketing - Field Event,USD,25,22,3,0.075,1855.63,3865.9,2024-01-02
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0005536,Marketing - Field Event,USD,20,23,1,0.05,390.61,737.0,2023-05-12
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0006999,Partner,USD,9,21,8,0.075,780.22,917.9,2023-12-08
14,Brandon,Allen,Waukee,Iowa,50263,SO - 0007614,Referral,USD,13,23,5,0.1,126.5,214.4,2024-04-19
15,James,Robinson,Vanzant,Missouri,65768,SO - 0001263,Direct/Organic,USD,8,25,2,0.05,514.56,1072.0,2023-02-18
15,James,Robinson,Vanzant,Missouri,65768,SO - 0002444,Partner,USD,25,24,7,0.05,440.59,917.9,2023-04-05
15,James,Robinson,Vanzant,Missouri,65768,SO - 0003105,Direct/Organic,USD,2,3,3,0.15,2267.28,5038.4,2023-06-21
15,James,Robinson,Vanzant,Missouri,65768,SO - 0003846,Referral,USD,16,19,8,0.05,488.63,958.1,2023-09-21
15,James,Robinson,Vanzant,Missouri,65768,SO - 0006920,Referral,USD,28,34,2,0.4,488.83,1018.4,2024-03-05
15,James,Robinson,Vanzant,Missouri,65768,SO - 0006986,Marketing - Field Event,USD,28,45,5,0.05,139.16,207.7,2024-01-02
16,Joshua,Foster,West Newton,Indiana,46183,SO - 000978,Direct/Organic,USD,6,7,5,0.05,135.68,180.9,2022-12-18
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0001176,Referral,USD,12,8,6,0.1,161.81,234.5,2022-05-19
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0002216,Direct/Organic,USD,13,27,3,0.1,492.45,984.9,2023-02-28
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0002240,Direct/Organic,USD,5,27,2,0.1,1557.15,2552.7,2023-04-10
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0002942,Partner,USD,10,18,1,0.075,1413.23,1788.9,2023-07-31
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0004046,Marketing - Field Event,USD,11,37,1,0.05,193.36,261.3,2023-10-18
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0004530,Marketing - Paid,USD,8,2,2,0.4,1762.9,4006.6,2023-12-20
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0005446,Direct/Organic,USD,18,33,5,0.05,905.84,1132.3,2024-03-30
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0006316,Referral,USD,6,33,1,0.075,989.93,1319.9,2023-06-14
16,Joshua,Foster,West Newton,Indiana,46183,SO - 0007185,Direct/Organic,USD,3,31,3,0.05,771.84,1715.2,2023-12-27
17,Owen,Cooper,Crystal Lake,Illinois,60012,SO - 000545,Direct/Organic,USD,24,33,7,0.05,689.63,944.7,2023-04-10
17,Owen,Cooper,Crystal Lake,Illinois,60012,SO - 000802,Direct/Organic,USD,11,16,3,0.1,1454.84,1889.4,2023-03-26
17,Owen,Cooper,Crystal Lake,Illinois,60012,SO - 0002491,Direct/Organic,USD,6,12,7,0.15,610.1,1051.9,2023-07-12
17,Owen,Cooper,Crystal Lake,Illinois,60012,SO - 0007971,Direct/Organic,USD,25,43,2,0.2,4012.76,6472.2,2024-02-10
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0002346,Direct/Organic,USD,20,34,1,0.05,453.05,984.9,2023-03-24
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0003355,Marketing - Paid,USD,12,17,4,0.075,2405.97,3819.0,2023-07-22
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0004326,Direct/Organic,USD,9,7,1,0.05,3488.36,5366.7,2023-11-21
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0004788,Marketing - Field Event,USD,4,17,7,0.1,2048.39,2592.9,2023-11-20
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0005360,Partner,USD,22,1,7,0.05,490.04,1065.3,2024-03-23
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0005820,Direct/Organic,USD,13,38,1,0.05,3348.66,3939.6,2023-08-12
18,Joshua,Rodriguez,Raleigh,North Carolina,27634,SO - 0007830,Partner,USD,11,39,6,0.2,3164.81,6458.8,2024-01-20
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 000213,Referral,USD,20,11,1,0.3,857.6,1715.2,2023-01-24
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0001956,Direct/Organic,USD,15,20,3,0.075,2367.78,3946.3,2023-03-12
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0003228,Partner,USD,24,9,5,0.05,3365.75,3959.7,2023-02-14
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0003566,Partner,USD,7,47,6,0.15,1431.12,1788.9,2023-08-21
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0005275,Marketing - Field Event,USD,22,16,6,0.1,120.6,201.0,2023-06-10
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0005288,Partner,USD,10,29,7,0.05,1418.06,1708.5,2023-07-11
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0005715,Referral,USD,25,26,8,0.05,116.31,187.6,2024-03-10
19,Tiffany,Collins,Disputanta,Virginia,23842,SO - 0007668,Referral,USD,19,1,6,0.05,2138.24,3959.7,2023-12-20
20,Courtney,King,Union,Kentucky,41091,SO - 0001129,Referral,USD,18,17,8,0.4,3271.74,5112.1,2023-05-29
20,Courtney,King,Union,Kentucky,41091,SO - 0001930,Referral,USD,3,10,3,0.15,3654.05,5453.8,2023-07-26
20,Courtney,King,Union,Kentucky,41091,SO - 0002142,Partner,USD,7,11,5,0.1,687.82,1165.8,2023-02-28
20,Courtney,King,Union,Kentucky,41091,SO - 0002192,Marketing - Field Event,USD,26,35,8,0.05,2966.43,3852.5,2023-02-28
20,Courtney,King,Union,Kentucky,41091,SO - 0002652,Referral,USD,13,15,8,0.3,4167.74,6411.9,2023-04-27
20,Courtney,King,Union,Kentucky,41091,SO - 0003526,Marketing - Paid,USD,27,47,5,0.1,616.27,978.2,2023-08-15
20,Courtney,King,Union,Kentucky,41091,SO - 0003782,Marketing - Field Event,USD,8,10,6,0.075,743.7,1005.0,2023-08-16
20,Courtney,King,Union,Kentucky,41091,SO - 0004339,Partner,USD,3,21,5,0.075,631.14,1051.9,2023-11-24
20,Courtney,King,Union,Kentucky,41091,SO - 0005229,Marketing - Field Event,USD,5,21,7,0.05,882.73,1038.5,2024-03-08
20,Courtney,King,Union,Kentucky,41091,SO - 0005600,Direct/Organic,USD,9,6,7,0.05,505.18,971.5,2024-01-11
20,Courtney,King,Union,Kentucky,41091,SO - 0006731,Referral,USD,13,41,4,0.075,1168.28,2485.7,2024-02-13
20,Courtney,King,Union,Kentucky,41091,SO - 0007429,Referral,USD,13,33,2,0.05,2974.8,3966.4,2024-01-26
20,Courtney,King,Union,Kentucky,41091,SO - 0007481,Direct/Organic,USD,11,8,1,0.075,3360.05,3953.0,2024-02-03
20,Courtney,King,Union,Kentucky,41091,SO - 0007890,Direct/Organic,USD,27,35,2,0.05,866.71,1313.2,2023-07-21
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 000788,Referral,USD,26,17,8,0.1,629.4,1031.8,2023-03-12
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 000872,Partner,USD,11,34,8,0.15,1127.74,1762.1,2023-06-04
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 000973,Partner,USD,8,31,1,0.05,609.7,1219.4,2022-11-17
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 0002519,Direct/Organic,USD,17,9,7,0.075,136.01,234.5,2023-11-11
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 0005074,Direct/Organic,USD,20,15,8,0.3,109.34,214.4,2024-01-09
21,Dylan,Torres,Nashville,Tennessee,37203,SO - 0006099,Direct/Organic,USD,16,3,5,0.1,691.44,1152.4,2024-03-13
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 000504,Referral,USD,22,3,5,0.075,1457.52,1996.6,2023-02-28
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 000898,Partner,USD,13,9,2,0.1,338.15,690.1,2023-06-30
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0002113,Referral,USD,20,14,1,0.075,575.26,1065.3,2023-02-23
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0002927,Direct/Organic,USD,13,11,7,0.075,1196.35,1869.3,2023-07-16
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0003674,Partner,USD,13,42,4,0.1,405.35,737.0,2023-08-31
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0004348,Direct/Organic,USD,3,8,3,0.05,1131.23,2693.4,2023-11-24
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0004623,Marketing - Field Event,USD,27,9,7,0.15,564.01,924.6,2023-12-26
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0004985,Referral,USD,13,6,5,0.05,1622.67,2351.7,2024-04-09
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0006928,Partner,USD,25,3,1,0.3,1179.2,2680.0,2024-03-05
22,Joseph,Perry,Raleigh,North Carolina,27634,SO - 0007435,Direct/Organic,USD,22,33,1,0.075,839.18,1118.9,2024-01-26
23,John,Walker,Gloucester,North Carolina,28528,SO - 000137,Marketing - Field Event,USD,7,1,1,0.075,120.2,261.3,2022-04-14
23,John,Walker,Gloucester,North Carolina,28528,SO - 000555,Direct/Organic,USD,1,13,1,0.15,804.8,1045.2,2023-04-20
23,John,Walker,Gloucester,North Carolina,28528,SO - 0001108,Partner,USD,10,39,2,0.075,873.28,1782.2,2023-05-08
23,John,Walker,Gloucester,North Carolina,28528,SO - 0001624,Referral,USD,3,23,2,0.3,968.15,1139.0,2023-06-03
23,John,Walker,Gloucester,North Carolina,28528,SO - 0003464,Marketing - Field Event,USD,25,28,6,0.05,98.49,201.0,2023-07-31
23,John,Walker,Gloucester,North Carolina,28528,SO - 0005689,Referral,USD,17,28,1,0.05,783.36,1058.6,2024-03-10
23,John,Walker,Gloucester,North Carolina,28528,SO - 0007310,Referral,USD,22,46,8,0.3,2408.52,5473.9,2024-02-18
23,John,Walker,Gloucester,North Carolina,28528,SO - 0007455,Partner,USD,6,1,1,0.2,449.44,1045.2,2024-01-28
24,Joshua,Young,Brazeau,Missouri,63737,SO - 000290,Direct/Organic,USD,11,39,1,0.075,390.61,710.2,2023-04-11
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0001511,Marketing - Paid,USD,12,1,7,0.1,3125.95,3859.2,2023-02-10
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0001857,Direct/Organic,USD,5,23,1,0.05,944.97,1152.4,2023-05-14
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0002202,Direct/Organic,USD,24,29,3,0.075,2056.03,3879.3,2023-02-28
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0003196,Direct/Organic,USD,4,37,7,0.05,2811.39,3959.7,2023-06-27
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0003443,Partner,USD,10,14,6,0.15,4661.12,6385.1,2023-07-31
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0003868,Referral,USD,3,44,3,0.075,1331.63,2512.5,2023-09-24
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0004525,Partner,USD,24,1,3,0.05,818.07,1105.5,2023-12-20
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0005315,Direct/Organic,USD,26,29,3,0.05,222.11,261.3,2023-11-10
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0005424,Partner,USD,9,43,4,0.15,504.85,917.9,2024-03-30
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0006232,Direct/Organic,USD,11,16,6,0.1,1604.25,3912.8,2024-03-26
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0006355,Referral,USD,24,2,3,0.075,525.88,1118.9,2023-11-14
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0007321,Marketing - Field Event,USD,14,4,2,0.075,1638.02,2559.4,2024-03-20
24,Joshua,Young,Brazeau,Missouri,63737,SO - 0007861,Marketing - Field Event,USD,18,39,5,0.075,1747.49,2532.6,2024-03-22
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 000584,Marketing - Field Event,USD,11,10,6,0.15,3968.28,5835.7,2023-05-19
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0001063,Direct/Organic,USD,4,2,1,0.05,2477.33,2914.5,2023-03-24
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0002319,Direct/Organic,USD,12,30,3,0.05,646.68,850.9,2023-12-11
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0003525,Direct/Organic,USD,18,21,8,0.2,4552.25,5989.8,2023-08-15
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0003746,Marketing - Field Event,USD,6,30,2,0.4,4507.43,6009.9,2023-03-19
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0005565,Direct/Organic,USD,26,22,7,0.05,1916.74,3993.2,2023-09-11
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0005598,Referral,USD,17,33,5,0.05,182.24,268.0,2024-01-11
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0005744,Marketing - Field Event,USD,7,45,2,0.1,1388.51,3155.7,2024-03-17
25,Patrick,Thomas,Tribes Hill,New York,12177,SO - 0006589,Referral,USD,9,4,4,0.075,1423.35,3028.4,2023-09-15
26,Natalie,Foster,San Francisco,California,94172,SO - 000259,Referral,USD,13,21,1,0.1,1784.88,2231.1,2023-03-11
26,Natalie,Foster,San Francisco,California,94172,SO - 000445,Partner,USD,16,6,8,0.05,74.17,180.9,2022-12-16
26,Natalie,Foster,San Francisco,California,94172,SO - 000633,Referral,USD,8,23,5,0.15,180.57,234.5,2022-03-19
26,Natalie,Foster,San Francisco,California,94172,SO - 0001316,Referral,USD,2,3,5,0.05,1025.64,2385.2,2023-04-12
